GEOID,amin_asian_nhpi_other_vap_20,white_black_amin_other_vap_20,black_asian_nhpi_other_vap_20,black_amin_nhpi_other_vap_20,white_black_amin_asian_nhpi_vap_20,white_black_asian_other_vap_20,black_asian_nhpi_vap_20,five_races_vap_20,white_black_asian_nhpi_vap_20,white_black_amin_asian_nhpi_other_vap_20,six_races_vap_20,two_or_more_races_vap_20,asian_vap_20,black_nhpi_vap_20,amin_vap_20,black_asian_vap_20,white_black_nhpi_vap_20,other_vap_20,nhpi_vap_20,black_other_vap_20,black_amin_nhpi_vap_20,white_nhpi_vap_20,three_races_vap_20,one_race_vap_20,white_black_amin_nhpi_vap_20,nhpi_other_vap_20,black_amin_asian_vap_20,total_vap_20,white_asian_vap_20,black_amin_vap_20,white_black_asian_vap_20,black_vap_20,white_black_amin_vap_20,black_amin_other_vap_20,white_vap_20,white_other_vap_20,black_amin_asian_nhpi_vap_20,asian_nhpi_other_vap_20,white_asian_nhpi_vap_20,two_races_vap_20,amin_other_vap_20,black_amin_asian_nhpi_other_vap_20,white_asian_nhpi_other_vap_20,amin_nhpi_other_vap_20,amin_nhpi_vap_20,white_amin_other_vap_20,white_black_amin_asian_vap_20,white_nhpi_other_vap_20,white_amin_vap_20,asian_other_vap_20,black_amin_asian_other_vap_20,four_races_vap_20,asian_nhpi_vap_20,white_asian_other_vap_20,white_black_vap_20,black_nhpi_other_vap_20,white_black_other_vap_20,white_black_amin_nhpi_other_vap_20,white_amin_asian_nhpi_vap_20,white_black_nhpi_other_vap_20,black_asian_other_vap_20,white_black_amin_asian_other_vap_20,amin_asian_vap_20,white_amin_asian_nhpi_other_vap_20,white_amin_nhpi_other_vap_20,amin_asian_other_vap_20,white_amin_nhpi_vap_20,white_amin_asian_vap_20,white_black_asian_nhpi_other_vap_20,white_amin_asian_other_vap_20,amin_asian_nhpi_vap_20
13021,0,21,0,0,2,5,0,9,0,0,0,4054,2602,17,294,89,0,2645,46,214,0,30,199,116848,0,7,1,120902,223,280,29,62618,91,13,48643,1246,0,0,12,3812,26,4,0,0,0,8,4,4,748,27,0,34,20,11,865,2,14,0,0,0,0,1,20,2,0,0,0,14,0,4,0
13023,0,9,0,0,0,0,0,0,1,0,0,195,128,0,13,1,1,133,6,10,0,0,8,9418,0,0,0,9613,13,0,0,1990,3,0,7148,75,0,0,0,177,0,0,0,0,0,0,0,0,58,0,0,10,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
13025,0,1,0,0,0,0,0,1,0,0,0,511,38,5,55,5,0,74,0,9,0,0,11,13181,0,0,0,13692,21,7,2,412,1,0,12602,120,2,0,0,494,2,0,1,0,0,0,0,0,299,0,1,5,1,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8
13027,0,0,0,0,2,0,0,7,0,0,0,451,59,0,41,5,0,311,0,11,0,0,21,12296,0,0,0,12747,9,8,3,4240,12,0,7645,183,0,0,0,423,0,0,0,0,1,0,0,0,135,0,0,0,0,0,71,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,2
13029,0,2,0,0,0,1,1,1,0,0,0,2130,767,1,122,10,3,645,36,67,0,33,130,29698,0,6,0,31828,215,21,19,4591,27,0,23537,793,0,0,19,1984,0,1,0,0,0,13,12,0,580,3,0,15,17,3,238,0,31,0,0,0,0,0,0,0,0,0,0,11,0,0,3
13031,0,6,0,0,0,5,3,4,0,0,0,2645,1044,2,167,19,0,1337,59,73,0,37,117,61849,0,1,2,64494,196,82,10,17476,42,4,41766,875,0,0,0,2512,18,0,0,0,0,10,1,2,662,57,0,12,16,0,458,0,34,0,0,0,0,3,16,1,0,0,6,4,0,0,0
13033,0,1,0,0,0,0,4,0,3,0,0,552,75,4,53,3,0,247,12,9,0,3,29,18226,2,0,5,18778,26,28,0,8142,15,0,9697,142,0,0,0,512,0,0,0,0,1,0,5,0,156,1,0,11,0,3,139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13035,0,6,1,0,1,0,1,1,0,0,0,747,91,0,39,0,0,322,6,18,0,6,31,19613,0,0,0,20360,38,30,0,5512,20,0,13643,247,0,0,2,707,8,0,0,0,0,6,0,0,290,0,0,8,0,2,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13037,0,0,0,0,0,0,0,0,0,0,0,45,16,0,8,6,0,72,0,0,0,0,3,4642,0,0,0,4687,0,5,0,2970,2,0,1576,2,0,0,0,42,0,0,0,0,0,0,0,0,14,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13039,0,3,0,0,0,0,5,9,0,2,2,2492,717,6,197,23,1,884,63,73,0,27,130,39316,0,6,0,41808,240,56,7,7244,54,9,30211,821,0,1,14,2338,10,0,0,0,1,22,10,3,728,8,0,13,12,3,323,0,3,0,0,0,0,8,4,0,0,0,0,8,1,0,0
