GEOID,total_vap_est_male_acs5_23,total_vap_est_female_acs5_23,white_vap_est_male_acs5_23,white_vap_est_female_acs5_23,black_vap_est_male_acs5_23,black_vap_est_female_acs5_23,amin_vap_est_male_acs5_23,amin_vap_est_female_acs5_23,asian_vap_est_male_acs5_23,asian_vap_est_female_acs5_23,nhpi_vap_est_male_acs5_23,nhpi_vap_est_female_acs5_23,other_vap_est_male_acs5_23,other_vap_est_female_acs5_23,two_or_more_races_vap_est_male_acs5_23,two_or_more_races_vap_est_female_acs5_23,non_hispanic_white_vap_est_male_acs5_23,non_hispanic_white_vap_est_female_acs5_23,hispanic_vap_est_male_acs5_23,hispanic_vap_est_female_acs5_23
13241,6916.0,7401.0,6261.0,6636.0,79.0,77.0,0.0,10.0,10.0,126.0,0.0,0.0,262.0,113.0,304.0,439.0,6202.0,6570.0,517.0,509.0
13243,2104.0,2493.0,659.0,716.0,1382.0,1716.0,0.0,0.0,9.0,0.0,0.0,0.0,28.0,11.0,26.0,50.0,653.0,713.0,54.0,15.0
13245,75051.0,83534.0,29174.0,27879.0,39175.0,47698.0,133.0,100.0,1165.0,1676.0,147.0,161.0,2022.0,1936.0,3235.0,4084.0,27938.0,26866.0,4178.0,3815.0
13247,32926.0,38787.0,10586.0,11369.0,17989.0,22805.0,117.0,73.0,625.0,757.0,0.0,0.0,1173.0,1353.0,2436.0,2430.0,9764.0,10771.0,3120.0,2971.0
13249,1556.0,1897.0,1192.0,1482.0,304.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,60.0,77.0,1188.0,1468.0,35.0,57.0
13251,5319.0,5794.0,3106.0,3256.0,2069.0,2270.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,137.0,268.0,3088.0,3227.0,59.0,142.0
13253,3407.0,3884.0,2340.0,2467.0,1010.0,1317.0,0.0,7.0,21.0,17.0,0.0,0.0,0.0,8.0,36.0,68.0,2286.0,2411.0,77.0,99.0
13255,24329.0,27930.0,15006.0,16191.0,7666.0,9955.0,83.0,30.0,239.0,241.0,0.0,14.0,408.0,378.0,927.0,1121.0,14676.0,15689.0,1313.0,1167.0
13257,10012.0,10892.0,8283.0,9136.0,1090.0,1205.0,19.0,9.0,92.0,120.0,0.0,0.0,204.0,209.0,324.0,213.0,8249.0,9090.0,299.0,302.0
13259,2973.0,1414.0,702.0,544.0,1729.0,850.0,18.0,0.0,85.0,0.0,0.0,0.0,345.0,0.0,94.0,20.0,569.0,534.0,492.0,11.0
13261,10442.0,12163.0,4761.0,5061.0,4801.0,6109.0,20.0,34.0,235.0,158.0,48.0,0.0,119.0,97.0,458.0,704.0,4574.0,4912.0,543.0,541.0
13263,2280.0,2534.0,1048.0,1010.0,1141.0,1422.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,87.0,69.0,1048.0,997.0,0.0,48.0
13265,640.0,786.0,259.0,307.0,327.0,369.0,0.0,0.0,0.0,1.0,0.0,4.0,44.0,42.0,10.0,63.0,251.0,307.0,30.0,17.0
13267,11307.0,8015.0,6030.0,5452.0,3838.0,1715.0,28.0,23.0,47.0,16.0,0.0,0.0,820.0,584.0,544.0,225.0,5940.0,5400.0,1000.0,688.0
